,order_city,order_country,order_item_discount_rate,order_item_product_price,order_item_quantity,order_profit_per_order,order_region,order_state,label,distance_normalized,is_international,order_weekofyear,order_month,order_hour,shipping_day_of_week,order_shipping_time,payment_type_DEBIT,payment_type_PAYMENT,payment_type_TRANSFER,customer_segment_Corporate,customer_segment_Home Office,market_Europe,market_LATAM,market_Pacific Asia,market_USCA,shipping_mode_Same Day,shipping_mode_Second Class,shipping_mode_Standard Class,product_name_encoded,category_name_encoded,department_name_encoded
8181,0.014342680730640597,0.02321842037561101,0.6,0.024882402802608502,1.0,0.7136054888861083,0.04650115770517108,0.014342680730640597,-1,0.0198898524836644,0.0,0.21153846153846156,0.1818181818181818,0.08695652173913043,0.8333333333333333,0.2727272727272727,False,False,False,False,True,False,True,False,False,False,False,True,0.3287425631130407,0.3287425631130407,0.33674693595775035
11948,0.00019295086184718292,0.0012220221250321586,0.52,0.024894847115087926,0.25,0.7107728300651635,0.16323642912271674,0.00019295086184718292,1,0.3343945220094641,0.0,0.673076923076923,0.7272727272727273,0.9130434782608695,1.0,0.4545454545454545,False,True,False,False,False,True,False,False,False,False,False,True,0.29163724690387327,0.29163724690387327,0.3126888126167739
10663,0.0061744275791098535,0.014728582454334962,0.52,0.024882402802608502,1.0,0.7420345389797459,0.12921276048366348,0.012155904296372524,1,0.1315474453416543,0.0,0.019230769230769232,0.0,0.5217391304347826,0.16666666666666666,0.2727272727272727,False,False,False,False,False,False,True,False,False,False,True,False,0.3336367761876686,0.3336367761876686,0.3363528682670732
420,0.0002572678157962439,0.0045021867764342685,0.64,0.18043630879540987,0.0,0.7672636434643019,0.08811422691021353,0.0007074864934396708,1,0.5065487913492701,0.0,0.19230769230769235,0.1818181818181818,0.043478260869565216,0.3333333333333333,0.2727272727272727,True,False,False,False,False,False,True,False,False,False,False,False,0.3520069963686552,0.3520069963686552,0.33674693595775035
14050,0.002122459480319012,0.04971700540262413,1.0,0.031110781198560273,0.25,0.7216397814052018,0.08811422691021353,0.009390275276562903,1,0.3749361905054931,0.0,0.44230769230769235,0.4545454545454545,0.043478260869565216,0.0,0.2727272727272727,False,False,False,False,False,False,True,False,False,False,False,False,0.3119867424990229,0.3129647286504102,0.3379194995210432
6484,0.0006431695394906097,0.08676357087728326,0.24,0.024894847115087926,0.25,0.712163352308209,0.16323642912271674,0.011898636480576279,-1,0.3860792766698594,0.0,0.2692307692307693,0.2727272727272727,1.0,0.5,0.2727272727272727,False,True,False,False,False,True,False,False,False,False,False,True,0.29163724690387327,0.29163724690387327,0.3126888126167739
9249,0.00038590172369436584,0.03563159248777978,0.28,0.018666468719136162,0.0,0.6626378790894314,0.057756624646256756,0.002829945973758683,1,0.4260944074473301,0.0,0.8846153846153846,0.9090909090909091,0.5652173913043478,0.16666666666666666,0.6363636363636364,False,False,False,True,False,True,False,False,False,False,False,False,0.3594475908827524,0.36360028073116235,0.3177185078341385
12276,0.0002572678157962439,0.08676357087728326,0.8,0.018666468719136162,0.25,0.7119392891887157,0.16323642912271674,0.006753280164651402,1,0.3754740519560194,0.0,0.8653846153846154,0.9090909090909091,0.6086956521739131,0.6666666666666666,0.8181818181818182,False,True,False,False,True,True,False,False,False,False,False,True,0.3594475908827524,0.36360028073116235,0.3177185078341385
6740,0.0002572678157962439,0.018909184461023926,0.78599464,0.21221188383308967,0.0,0.760361302462186,0.057756624646256756,0.0002572678157962439,0,0.3473408363576107,0.0,0.9038461538461539,0.9090909090909091,0.2608695652173913,0.8333333333333333,0.2727272727272727,False,True,False,False,False,True,False,False,False,False,False,True,0.2350312093437998,0.2350312093437998,0.33926004191452325
2079,0.0002572678157962439,0.1386030357602264,0.12,0.024882402802608502,1.0,0.7379782272533848,0.03190120915873424,0.0007074864934396708,0,0.170408841894009,0.0,0.6923076923076923,0.7272727272727273,0.34782608695652173,0.0,0.9999999999999999,False,False,True,False,False,False,False,False,True,False,True,False,0.34369243408263284,0.34369243408263284,0.3436328557153468
2623,0.0008361204013377926,0.006496012348855158,0.64,0.11822096855452903,0.0,0.7360119450142115,0.007074864934396707,0.0010290712631849757,1,0.5631192384903407,0.0,0.8653846153846154,0.9090909090909091,0.6086956521739131,0.6666666666666666,0.9999999999999999,False,False,True,True,False,False,False,False,False,False,False,True,0.3352538683613844,0.3352538683613844,0.34930735603982865
2770,0.00032158476974530485,0.05029585798816568,0.17702216,0.031110781198560273,1.0,0.7299987729569514,0.16323642912271674,0.0022510933882171342,1,0.4918830403382691,0.0,0.826923076923077,0.8181818181818182,0.0,0.8333333333333333,0.8181818181818182,True,False,False,True,False,True,False,False,False,True,False,False,0.3119867424990229,0.3129647286504102,0.3379194995210432
